ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA, LAT, LONG, DATE, COUNCIL
T20170019203,2017-10-01,10:00:00,6,Vehicle overturned (no collision),1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,322490,1,0,0,1,0,1,2,5,Not at intersection,3,100,,144.406873,-36.868447,20171001,BENDIGO
T20170018884,2017-10-04,11:57:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,322240,2,0,2,0,0,2,1,2,T intersection,2,60,Arterial Other,144.241904,-36.708239,20171004,BENDIGO
T20170018958,2017-10-05,11:15:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,59866,3,0,1,0,2,3,1,1,Cross intersection,2,60,Arterial Other,144.242379,-36.79659,20171005,BENDIGO
T20170019043,2017-10-06,17:40:00,8,No collision and no object struck,5,Friday,172,OFF CARRIAGEWAY TO RIGHT,1,324655,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.442018,-36.87674,20171006,BENDIGO
T20170019026,2017-10-06,14:05:00,1,Collision with vehicle,5,Friday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,322600,4,0,1,0,2,3,1,1,Cross intersection,2,50,,144.28026,-36.76131,20171006,BENDIGO
T20170019573,2017-10-10,16:25:00,1,Collision with vehicle,3,Tuesday,140,U TURN,1,323593,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,144.30314,-36.76668,20171010,BENDIGO
T20170019415,2017-10-12,10:40:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,35812,2,0,1,2,0,3,1,1,Cross intersection,2,60,Arterial Highway,144.268039,-36.758417,20171012,BENDIGO
T20170019533,2017-10-14,05:00:00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,5,323065,2,0,1,1,2,4,1,5,Not at intersection,2,60,Arterial Other,144.274302,-36.77385,20171014,BENDIGO
T20170019843,2017-10-18,13:55:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,322963,2,0,1,0,2,3,1,5,Not at intersection,2,50,Local Road,144.259781,-36.730061,20171018,BENDIGO
T20170020257,2017-10-22,15:00:00,1,Collision with vehicle,0,Sunday,121,RIGHT THROUGH,9,49321,2,0,0,1,1,2,2,1,Cross intersection,3,999,Arterial Other,144.305216,-36.773247,20171022,BENDIGO
T20170020398,2017-10-26,02:30:00,4,Collision with a fixed object,5,Thursday,175,OFF END OF ROAD/T-INTERSECTION.,4,299354,1,0,4,0,0,4,1,2,T intersection,2,100,Local Road,144.400301,-36.67427,20171026,BENDIGO
T20170020432,2017-10-26,14:35:00,1,Collision with vehicle,4,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,35812,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.268039,-36.758417,20171026,BENDIGO
T20170020643,2017-10-29,08:15:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,323078,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.367479,-36.81207,20171029,BENDIGO
T20170020894,2017-11-01,14:18:00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),1,324271,3,0,1,1,1,3,1,5,Not at intersection,2,70,,144.237764,-36.82074,20171101,BENDIGO
T20180002274,2017-11-03,15:00:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,326813,1,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,144.370589,-36.546944,20171103,BENDIGO
T20170021091,2017-11-05,10:10:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19689,2,0,1,0,3,4,1,1,Cross intersection,2,60,Arterial Highway,144.501997,-36.786944,20171105,BENDIGO
T20170021411,2017-11-08,09:30:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,49316,2,0,2,1,0,3,1,1,Cross intersection,2,60,Arterial Other,144.283699,-36.752597,20171108,BENDIGO
T20170021393,2017-11-10,02:19:00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),5,324550,2,1,0,0,1,2,1,5,Not at intersection,1,100,,144.211428,-36.810666,20171110,BENDIGO
T20170021419,2017-11-10,12:30:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,51735,2,0,0,1,1,2,2,2,T intersection,3,70,Arterial Highway,144.242322,-36.802638,20171110,BENDIGO
T20170021675,2017-11-14,09:45:00,1,Collision with vehicle,2,Tuesday,140,U TURN,1,59570,2,0,0,1,2,3,1,1,Cross intersection,3,40,Local Road,144.283183,-36.741937,20171114,BENDIGO
T20170021911,2017-11-15,15:15:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,324886,2,0,0,1,1,2,1,5,Not at intersection,3,40,Arterial Highway,144.309758,-36.725159,20171115,BENDIGO
T20170022445,2017-11-18,13:30:00,1,Collision with vehicle,7,Saturday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,324337,2,0,1,0,1,2,2,5,Not at intersection,2,60,Arterial Other,144.283894,-36.749793,20171118,BENDIGO
T20170022143,2017-11-20,16:05:00,2,Struck Pedestrian,2,Monday,105,PED WALKING AGAINST TRAFFIC.,1,324599,1,0,1,0,1,2,1,5,Not at intersection,2,60,Local Road,144.31726,-36.705291,20171120,BENDIGO
T20170022245,2017-11-20,17:15:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,324004,2,0,0,1,1,2,1,5,Not at intersection,3,70,Arterial Highway,144.314176,-36.714049,20171120,BENDIGO
T20170022170,2017-11-20,23:22:00,4,Collision with a fixed object,1,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,3,323858,1,0,0,1,0,1,1,5,Not at intersection,3,60,Arterial Other,144.250725,-36.772568,20171120,BENDIGO
T20170022163,2017-11-20,19:10:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,51593,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,144.274076,-36.755246,20171120,BENDIGO
T20170022233,2017-11-21,16:40:00,1,Collision with vehicle,3,Tuesday,114,TWO RIGHT TURNING (INTERSECTIONS ONLY),1,324961,2,0,0,1,1,2,1,2,T intersection,3,60,Local Road,144.319099,-36.713785,20171121,BENDIGO
T20170022226,2017-11-21,16:04:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),2,323893,2,0,0,1,1,2,1,5,Not at intersection,3,100,Arterial Highway,144.37726,-36.77236,20171121,BENDIGO
T20170022275,2017-11-22,09:30:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,307924,3,0,0,2,2,4,1,2,T intersection,3,70,Arterial Highway,144.240366,-36.810193,20171122,BENDIGO
T20170022502,2017-11-24,23:35:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,324083,1,0,0,1,0,1,1,5,Not at intersection,3,40,Local Road,144.2798,-36.737171,20171124,BENDIGO
T20170022488,2017-11-24,19:17:00,6,Vehicle overturned (no collision),6,Friday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,325289,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,144.262575,-36.821418,20171124,BENDIGO
T20170022790,2017-11-24,16:45:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,44628,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.255389,-36.775029,20171124,BENDIGO
T20170023858,2017-11-27,14:50:00,2,Struck Pedestrian,2,Monday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,19423,1,0,0,1,1,2,2,2,T intersection,3,60,Arterial Highway,144.258828,-36.740617,20171127,BENDIGO
T20170022773,2017-11-28,18:20:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,51523,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,144.264611,-36.72718,20171128,BENDIGO
T20170022828,2017-11-29,12:50:00,6,Vehicle overturned (no collision),4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,1,50482,1,0,0,1,0,1,1,1,Cross intersection,3,40,Local Road,144.294552,-36.777578,20171129,BENDIGO
T20170023310,2017-11-30,15:35:00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,324548,1,0,1,0,0,1,2,5,Not at intersection,2,100,,144.403122,-36.65604,20171130,BENDIGO
T20170023235,2017-12-04,13:15:00,8,No collision and no object struck,2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,324490,1,0,0,1,0,1,2,5,Not at intersection,3,50,,144.273798,-36.723725,20171204,BENDIGO
T20170023151,2017-12-04,09:00:00,5,collision with some other object,2,Monday,166,STRUCK OBJECT ON CARRIAGEWAY,1,324887,1,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road,144.237561,-36.793439,20171204,BENDIGO
T20170023241,2017-12-05,18:30:00,6,Vehicle overturned (no collision),3,Tuesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,326738,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,144.219977,-36.722826,20171205,BENDIGO
T20170023256,2017-12-05,10:15:00,1,Collision with vehicle,3,Tuesday,132,RIGHT REAR.,1,51659,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,144.271212,-36.766605,20171205,BENDIGO
T20170023483,2017-12-08,20:00:00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),1,325959,2,0,2,1,0,3,1,5,Not at intersection,2,80,Local Road,144.23748,-36.72622,20171208,BENDIGO
T20170023999,2017-12-08,15:20:00,1,Collision with vehicle,5,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,325235,3,0,0,1,1,2,2,5,Not at intersection,3,40,Local Road,144.26172,-36.72094,20171208,BENDIGO
T20170023571,2017-12-09,16:10:00,5,collision with some other object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,335622,1,0,2,2,4,8,1,5,Not at intersection,2,100,,144.380332,-36.52115,20171209,BENDIGO
T20170023716,2017-12-11,08:45:00,1,Collision with vehicle,1,Monday,130,REAR END(VEHICLES IN SAME LANE),1,324885,2,0,0,1,1,2,2,5,Not at intersection,3,40,Arterial Highway,144.258061,-36.72414,20171211,BENDIGO
T20170023748,2017-12-12,13:35:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,324877,4,0,2,1,1,4,1,5,Not at intersection,2,60,Arterial Highway,144.324159,-36.67266,20171212,BENDIGO
T20170023983,2017-12-15,19:40:00,6,Vehicle overturned (no collision),6,Friday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,324957,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.747808,-36.883169,20171215,BENDIGO
T20170024451,2017-12-17,01:50:00,5,collision with some other object,1,Sunday,166,STRUCK OBJECT ON CARRIAGEWAY,5,325172,1,0,1,1,0,2,1,5,Not at intersection,2,100,Arterial Highway,144.37449,-36.772509,20171217,BENDIGO
T20170024081,2017-12-17,11:00:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,325591,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road,144.332353,-36.913186,20171217,BENDIGO
T20170024166,2017-12-18,13:10:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,312115,2,0,1,1,0,2,1,2,T intersection,2,100,Arterial Highway,144.352111,-36.771732,20171218,BENDIGO
T20170024283,2017-12-19,23:52:00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,325082,1,0,1,1,2,4,1,5,Not at intersection,2,100,,144.263097,-36.677969,20171219,BENDIGO
T20170024270,2017-12-19,14:00:00,6,Vehicle overturned (no collision),3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,51559,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,144.30418,-36.746762,20171219,BENDIGO
T20180006320,2017-12-20,08:30:00,1,Collision with vehicle,3,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,329474,2,0,0,1,0,1,2,2,T intersection,3,60,Arterial Highway,144.320524,-36.759802,20171220,BENDIGO
T20180018497,2017-12-20,01:30:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,338402,1,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road,144.237499,-36.793351,20171220,BENDIGO
T20170024389,2017-12-21,12:19:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19409,2,1,2,1,0,4,1,1,Cross intersection,1,100,Local Road,144.522812,-36.65015,20171221,BENDIGO
T20170024691,2017-12-21,19:30:00,8,No collision and no object struck,5,Thursday,170,OFF CARRIAGEWAY TO LEFT,2,326347,1,0,1,0,0,1,2,5,Not at intersection,2,60,,144.302909,-36.78656,20171221,BENDIGO
T20170024467,2017-12-22,10:15:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,325105,2,1,0,1,0,2,1,5,Not at intersection,1,100,,144.31225,-36.841989,20171222,BENDIGO
T20170024739,2017-12-27,10:15:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,325386,1,0,0,1,1,2,2,5,Not at intersection,3,100,,144.48698,-36.88664,20171227,BENDIGO
T20170024724,2017-12-27,10:30:00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,325281,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other,144.172269,-36.811244,20171227,BENDIGO
T20170024797,2017-12-28,10:15:00,4,Collision with a fixed object,4,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,326040,1,0,0,1,1,2,2,2,T intersection,3,100,,144.450492,-36.874287,20171228,BENDIGO
T20170024861,2017-12-29,14:35:00,3,Struck animal,6,Friday,167,STRUCK ANIMAL,1,325450,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.286949,-36.886571,20171229,BENDIGO
T20180000019,2018-01-01,03:40:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,327310,1,0,1,0,0,1,1,5,Not at intersection,2,60,Arterial Highway,144.247959,-36.782889,20180101,BENDIGO
T20180000040,2018-01-01,13:05:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,325635,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road,144.149329,-36.733997,20180101,BENDIGO
T20180002846,2018-01-05,16:30:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,327099,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,144.250131,-36.77995,20180105,BENDIGO
T20180000307,2018-01-06,01:40:00,4,Collision with a fixed object,7,Saturday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,325989,1,0,1,0,0,1,1,2,T intersection,2,60,Arterial Other,144.29665,-36.769351,20180106,BENDIGO
T20180000521,2018-01-09,19:40:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,51632,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.269842,-36.761875,20180109,BENDIGO
T20180000804,2018-01-14,09:45:00,1,Collision with vehicle,1,Sunday,140,U TURN,1,326408,2,0,1,1,3,5,1,5,Not at intersection,2,100,Local Road,144.202101,-36.719411,20180114,BENDIGO
T20180000928,2018-01-16,10:35:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,59775,2,1,0,1,0,2,1,2,T intersection,1,100,Arterial Highway,144.399356,-36.771128,20180116,BENDIGO
T20180001178,2018-01-20,10:27:00,4,Collision with a fixed object,7,Saturday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,326284,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,144.225091,-36.76934,20180120,BENDIGO
T20180001339,2018-01-22,17:00:00,4,Collision with a fixed object,2,Monday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,326353,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.408791,-36.797351,20180122,BENDIGO
T20180001425,2018-01-23,19:28:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,170631,1,0,0,1,0,1,1,5,Not at intersection,3,80,,144.240008,-36.827591,20180123,BENDIGO
T20180001438,2018-01-23,23:32:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,3,326437,2,0,2,1,1,4,1,5,Not at intersection,2,60,Arterial Other,144.301049,-36.771912,20180123,BENDIGO
T20180001489,2018-01-24,17:00:00,1,Collision with vehicle,3,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,326485,3,0,0,1,0,1,1,5,Not at intersection,3,60,Arterial Highway,144.245842,-36.716687,20180124,BENDIGO
T20180001500,2018-01-24,16:55:00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE,1,51545,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Highway,144.298252,-36.740041,20180124,BENDIGO
T20180001529,2018-01-25,12:10:00,1,Collision with vehicle,4,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51503,2,0,0,1,5,6,1,1,Cross intersection,3,70,Local Road,144.319355,-36.713819,20180125,BENDIGO
T20180001658,2018-01-27,10:15:00,1,Collision with vehicle,7,Saturday,111,RIGHT FAR (INTERSECTIONS ONLY),1,328727,2,0,1,0,2,3,1,1,Cross intersection,2,60,Arterial Highway,144.610679,-36.498376,20180127,BENDIGO
T20180004424,2018-01-28,12:15:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,328222,1,0,0,1,0,1,2,5,Not at intersection,3,60,Local Road,144.27137,-36.76784,20180128,BENDIGO
T20180001790,2018-01-29,15:15:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,59409,2,0,1,0,1,2,1,1,Cross intersection,2,100,,144.544748,-36.619503,20180129,BENDIGO
T20180001850,2018-01-30,15:10:00,1,Collision with vehicle,3,Tuesday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,328291,2,0,1,0,1,2,1,5,Not at intersection,2,60,Arterial Highway,144.258423,-36.74211,20180130,BENDIGO
T20180001958,2018-02-01,11:20:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,44721,2,0,0,2,1,3,1,2,T intersection,3,60,Arterial Highway,144.606964,-36.496787,20180201,BENDIGO
T20180001959,2018-02-01,13:43:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51917,2,0,0,2,1,3,1,1,Cross intersection,3,80,Arterial Highway,144.233174,-36.715519,20180201,BENDIGO
T20180001961,2018-02-01,11:16:00,1,Collision with vehicle,5,Thursday,142,LEAVING PARKING,1,326819,2,0,1,2,1,4,1,5,Not at intersection,2,60,Local Road,144.265423,-36.759793,20180201,BENDIGO
T20180001980,2018-02-01,19:30:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,338248,2,0,0,1,0,1,2,2,T intersection,3,50,Local Road,144.299895,-36.765853,20180201,BENDIGO
T20180002064,2018-02-02,20:13:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,326742,1,0,0,1,0,1,1,5,Not at intersection,3,70,Local Road,144.32456,-36.714439,20180202,BENDIGO
T20180003663,2018-02-04,11:30:00,1,Collision with vehicle,1,Sunday,142,LEAVING PARKING,1,327416,2,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,144.284953,-36.757963,20180204,BENDIGO
T20180002164,2018-02-04,12:50:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,327656,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.347159,-36.917009,20180204,BENDIGO
T20180002230,2018-02-05,14:30:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,51620,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,144.285571,-36.759831,20180205,BENDIGO
T20180002547,2018-02-10,03:30:00,4,Collision with a fixed object,7,Saturday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,336668,1,0,2,0,1,3,1,5,Not at intersection,2,50,Local Road,144.246608,-36.764659,20180210,BENDIGO
T20180002635,2018-02-11,15:35:00,1,Collision with vehicle,1,Sunday,146,REVERSING INTO FIXED OBJECT/PARKED VEHICLE,1,327982,2,0,0,2,0,2,1,5,Not at intersection,3,50,Local Road,144.271181,-36.720211,20180211,BENDIGO
T20180002636,2018-02-11,15:40:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,328318,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.342751,-36.841162,20180211,BENDIGO
T20180002911,2018-02-15,11:54:00,1,Collision with vehicle,5,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),1,29980,2,0,0,1,1,2,1,1,Cross intersection,3,70,Arterial Highway,144.31319,-36.759376,20180215,BENDIGO
T20180003008,2018-02-16,09:50:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,1,59524,2,0,1,0,3,4,1,1,Cross intersection,2,60,Arterial Highway,144.304867,-36.731458,20180216,BENDIGO
T20180003125,2018-02-17,22:50:00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,327650,2,0,1,0,0,1,1,5,Not at intersection,2,50,Local Road,144.274029,-36.752001,20180217,BENDIGO
T20180003123,2018-02-18,12:20:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,1,57993,2,0,1,0,1,2,1,2,T intersection,2,60,Local Road,144.334545,-36.802229,20180218,BENDIGO
T20180007146,2018-02-20,06:00:00,3,Struck animal,2,Tuesday,167,STRUCK ANIMAL,2,341568,1,0,0,1,0,1,2,2,T intersection,3,100,Local Road,144.315404,-36.910132,20180220,BENDIGO
T20180003552,2018-02-22,18:23:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,328149,3,0,0,1,3,4,1,5,Not at intersection,3,60,Arterial Highway,144.2847,-36.7552,20180222,BENDIGO
T20180003473,2018-02-23,06:45:00,3,Struck animal,6,Friday,167,STRUCK ANIMAL,2,327417,1,0,0,2,1,3,1,5,Not at intersection,3,100,,144.199524,-36.6161,20180223,BENDIGO
T20180003654,2018-02-25,16:20:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,59756,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.265425,-36.768103,20180225,BENDIGO
T20180003813,2018-02-27,17:20:00,1,Collision with vehicle,3,Tuesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,19695,2,0,0,1,1,2,1,2,T intersection,3,80,Arterial Highway,144.238135,-36.818668,20180227,BENDIGO
T20180003890,2018-02-28,22:40:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,3,19431,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,144.284313,-36.75549,20180228,BENDIGO
T20180003904,2018-03-01,07:50:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,327925,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.200879,-36.821578,20180301,BENDIGO
T20180003958,2018-03-01,21:25:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,5,327643,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.193452,-36.724492,20180301,BENDIGO
T20180004906,2018-03-02,17:20:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,328198,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,144.295929,-36.758072,20180302,BENDIGO
T20180004016,2018-03-02,13:36:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,59526,2,0,2,0,0,2,1,1,Cross intersection,2,60,Local Road,144.306143,-36.732036,20180302,BENDIGO
T20180004107,2018-03-03,18:35:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,327752,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.386467,-36.85433,20180303,BENDIGO
T20180004066,2018-03-03,09:50:00,2,Struck Pedestrian,7,Saturday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,1,329061,1,0,0,1,1,2,1,5,Not at intersection,3,888,Arterial Highway,144.706347,-36.919642,20180303,BENDIGO
T20180004247,2018-03-05,22:00:00,4,Collision with a fixed object,1,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,327765,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Highway,144.40234,-36.7713,20180305,BENDIGO
T20180004314,2018-03-06,17:55:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,44630,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Highway,144.270579,-36.763471,20180306,BENDIGO
T20180004893,2018-03-07,15:40:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,332253,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.761069,-36.879652,20180307,BENDIGO
T20180004692,2018-03-11,13:02:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19419,2,0,1,1,0,2,1,1,Cross intersection,2,60,Arterial Other,144.263983,-36.73788,20180311,BENDIGO
T20180004806,2018-03-13,08:10:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,51626,2,0,0,1,0,1,1,9,Unknown,3,60,Local Road,144.263182,-36.760969,20180313,BENDIGO
T20180004875,2018-03-13,15:25:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,30031,2,0,0,2,1,3,1,1,Cross intersection,3,60,Arterial Highway,144.291933,-36.757373,20180313,BENDIGO
